Focus,variance_laplacian,modified_laplacian,tenengrad,normalized_variance,brenner_gradient,threshold_count,spectral_energy,wavelet_measure,fast_entropy
0.0,0.120625,0.046275,1.184200,0.036223,1839.000000,0.000000,60614929.250114,107752.000000,-0.000000
1.0,0.065450,0.020975,0.437600,0.027143,799.000000,0.000000,21077536.414624,46830.000000,-0.000000
2.0,0.069750,0.022475,0.458100,0.028070,845.000000,0.000000,21174062.787411,44819.000000,-0.000000
3.0,0.075100,0.025025,0.534900,0.032503,953.000000,0.000000,22319799.373361,50951.000000,-0.000000
4.0,0.156725,0.062500,1.694300,0.067212,2476.000000,0.000000,77116757.053695,139409.000000,-0.000000
5.0,0.085925,0.027650,0.622900,0.039443,1084.000000,0.000000,22525567.615197,64738.000000,-0.000000
6.0,0.088000,0.028250,0.660200,0.041732,1118.000000,0.000000,23025259.512992,56123.000000,-0.000000
7.0,0.177350,0.069750,1.868700,0.088130,2748.000000,0.000000,88244225.566427,157041.000000,-0.000000
8.0,0.100525,0.032375,0.717500,0.045193,1250.000000,0.000000,23101879.667493,67617.000000,-0.000000
9.0,0.194950,0.077425,2.008000,0.101207,2977.000000,0.000000,93510645.723447,168794.000000,-0.000000
10.0,0.111150,0.036775,0.884300,0.057934,1454.000000,0.000000,23980401.427859,82473.000000,-0.000000
11.0,0.202275,0.077300,2.039700,0.116153,3033.000000,0.000000,83927597.099256,173393.000000,-0.000000
12.0,0.118850,0.037750,1.058600,0.070512,1580.000000,0.000000,24642265.833527,85035.000000,0.009384
13.0,0.198625,0.074550,2.283600,0.134220,3128.000000,0.000000,84539315.206338,171314.000000,0.013616
14.0,0.117700,0.037350,1.386400,0.087118,1781.000000,0.000000,28797154.555496,102905.000000,0.019914
15.0,0.118100,0.037400,1.547500,0.093237,1886.000000,0.000000,32607853.111132,101903.000000,0.023033
16.0,0.252175,0.100725,3.581200,0.163798,4456.000000,0.000000,128069484.625951,250168.000000,0.026287
17.0,0.118900,0.038050,2.078400,0.113400,2233.000000,0.000000,48256768.482980,98083.000000,0.035218
18.0,0.221075,0.083225,3.692000,0.190465,4210.000000,0.000000,126578446.047641,210447.000000,0.036825
19.0,0.273850,0.109875,4.782100,0.204953,5436.000000,0.000000,174779291.498333,270169.000000,0.041948
20.0,0.122775,0.039800,3.207300,0.148103,2972.000000,0.000000,101366972.965264,119036.000000,0.043303
